@@,itemlabel,item,startdate,enddate
+++,Ali Chebbi,Q30728289,1992-03-09,1999-11-17
+++,Jalloul Jeribi,Q24690603,1999-11-17,2004-11-10
+++,Boubaker El Akhzouri,Q16325226,2004-11-10,2010-12-31
->,Kamel Omrane,Q3192376,2010-12-29->2010-12-31,2011-01-17
+++,Laroussi Mizouri,Q3217980,2011-01-17,2011-12-24
+++,Noureddine El Khademi,Q3344889,2011-12-24,2014-01-29
+++,Mounir Tlili,Q16665400,2014-01-29,2015-02-06
+++,Othman Battikh,Q473394,2015-02-06,2016-01-12
+++,Mohamed Khalil,Q24752632,2016-01-12,2016-08-27
+++,Abdeljalil Ben Salem,Q26710667,2016-08-27,2016-11-04
+++,Ghazi Jeribi,Q16639035,2016-11-04,2017-03-20
+++,Ahmed Adhoum,Q2827482,2017-03-20,2021-10-11
+++,Brahim Chaibi,Q108892355,2021-10-11,
